"date";"rain";"tmin";"tmax"
"03/02";0;-1,98;9,36
"03/02";2,52;-0,02;10,56
"03/02";1;-3,06;2,88
"03/02";0,52;2,62;9,4
"03/02";5,52;-0,58;4,86
"03/02";0,28;-5,66;-0,44
"03/02";0;1;14,44
"03/02";0;-1,68;8,68
"03/02";0,7;2,48;9,96
"03/02";0,12;-1,76;3,6
"03/02";0,94;-4,66;5,04
"03/02";6,525;1,85;5,775
"03/02";1,85;-0,2;7,075
"03/02";0,625;-8,38;-0,18
"03/02";0;-15,72;-1,38
"03/02";1,625;-10,02;0,16
"03/02";4,8;2,88;7,82
"03/02";0,8;3,68;14,08
"03/02";3,2;0,3;6,24
"03/03";0;-3,45;9,25
"03/03";0,966666666666667;-11,4;-5,875
"03/03";0;-7,25;3,65
"03/03";0;-8,75;-0,375
"03/03";0;-1,175;9,675
"03/03";0;-5;10,9666666666667
"03/03";0;-3,6;5,575
"03/03";0;-11,35;2
"03/03";29,06;1,9;6,375
"03/03";0;-7,15;6,85
"03/03";2,14;-2,925;1,675
"03/03";0;0,6;13,625
"03/03";6,86;1,55;7,375
"03/03";0,92;-1,7;4,18
"03/03";0;-3,84;5,8
"03/03";0;-13,04;3,62
"03/03";0;-3,78;6,72
"03/03";3,7;-5,5;1,28
"03/03";0,44;-2,9;6,94
"03/03";0;0,16;10,54
"03/03";1,24;-5,14;1,12
"03/03";0;-4,3;5,84
"03/03";15,42;-4,56;-1,1
"03/03";0,24;-13,38;-2,98
"03/03";0,56;-1,42;6,94
"03/03";1,72;-1,1;4,7
"03/03";0,84;-3,8;3,02
"03/03";0;-0,2;12,16
"03/03";0;-3,14;9,38
"03/03";1,48;0,52;11,26
"03/03";0;0,14;11,96
"03/03";0;-4,48;9,22
"03/03";0,68;-2,8;5,36
"03/03";2;-3,6;6,22
"03/03";0;-2,92;6,88
"03/03";0;-3,98;5,22
"03/03";2,38;-3,34;2,02
"03/03";0,34;-0,52;4,96
"03/03";5,78;-2,38;2,58
"03/03";0,86;-8,7;3,96
"03/03";0;-6,56;3,44
"03/03";6,52;0,32;6,44
"03/03";0;-4,1;2,24
"03/03";0,16;0,22;8,58
"03/03";0;-1,5;9,38
"03/03";2,64;-2,64;1,4
"03/03";5,02;1,8;10,56
"03/03";7,4;-2,82;7,28
"03/03";0,58;-7,4;-0,92
"03/03";0,36;2,58;12,36
"03/03";0;-1,16;12,38
"03/03";0,24;0,58;11,36
"03/03";1,48;-3,42;7,52
"03/03";0,16;-0,46;8,1
"03/03";2,65;0,25;4,7
"03/03";0,2;0,45;4,8
"03/03";0;-3,24;3,8
"03/03";0,9;-12,72;-0,04
"03/03";3,4;-6,96;3,94
"03/03";3,95;0,74;8,56
"03/03";4,175;4,66;14,08
"03/03";0,3;1,52;5,98
"03/04";0;-1,85;11,875
"03/04";0,366666666666667;-12,25;-5,375
"03/04";0,866666666666667;-5,45;6,15
"03/04";0,566666666666667;-7,65;1,325
"03/04";0,566666666666667;-0,75;10,3
"03/04";0,433333333333333;-2,43333333333333;10,4333333333333
"03/04";19,18;-1,475;6,35
"03/04";0,56;-11,125;4,05
"03/04";1,08;1,55;10,05
"03/04";0;-3,5;11,025
"03/04";0;-4,65;3,3
"03/04";0;4,35;12,9
"03/04";9,68;0,35;4,925
"03/04";0;-1,32;6,06
"03/04";2,56;0,04;7,88
"03/04";0;-8,82;6,32
"03/04";1,26;-1,8;4,66
"03/04";0,12;-10,2;0,26
"03/04";0,54;-1,52;5,4
"03/04";0;-0,8;12,56
"03/04";0,1;-3,84;3,16
"03/04";0;-3,42;4,68
"03/04";18,18;-5,52;-2,54
"03/04";0,24;-11,12;-5,9
"03/04";0;-2,34;8,12
"03/04";1,14;-1,66;4,8
"03/04";14,78;-2,62;4,9
"03/04";0;1;10,92
"03/04";0;-5,86;6,46
"03/04";1,24;5,72;13,88
"03/04";0,32;0,94;12,78
"03/04";0,22;-1,78;11,34
"03/04";0,28;-6,7;3,72
"03/04";1,72;-0,78;3,42
"03/04";2,62;-0,62;8,42
"03/04";0;-6,2;6,36
"03/04";0,26;-3,46;1,96
"03/04";0;-2,12;7,32
"03/04";0;-2,8;3,66
"03/04";0,16;-14,16;-2,18
"03/04";0;-6,8;4,7
"03/04";1,14;4,44089209850063e-17;7,7
"03/04";0;-5,36;7,84
"03/04";0;0,54;10,78
"03/04";0;2,02;12,4
"03/04";1,04;-5,64;-0,1
"03/04";0,06;0,4;6,12
"03/04";10,32;-1,42;4,12
"03/04";0,06;-10,42;-1,36
"03/04";2,34;2,62;10,38
"03/04";0;4,5;16,46
"03/04";9,16;2,36;10,4
"03/04";1,1;-0,66;5,96
"03/04";4,44;0,48;7,9
"03/04";0;-2,525;6
"03/04";0;-1,825;7,675
"03/04";0;-5,14;4,28
"03/04";0,225;-6,24;0,78
"03/04";5,35;-1,44;4,8
"03/04";0;2,18;10,1
"03/04";13,825;-0,98;9,52
"03/04";4,95;-0,1;9,98
"03/05";0;-1,475;12,55
"03/05";0,1;-13,75;-4,05
"03/05";0;-2,05;6,7
"03/05";0,4;-7,15;0,275
"03/05";13,0333333333333;1,8;6,275
"03/05";1,63333333333333;0,5;7,93333333333333
"03/05";11,16;-1,5;3,475
"03/05";7,58;-5,6;0,275
"03/05";2,32;-2,95;4,95
"03/05";0;-0,475;13,025
"03/05";0;-6,675;5,175
"03/05";0;2,225;11,85
"03/05";2,82;-0,875;3,1
"03/05";0;-3,28;9,18
"03/05";7,06;1,28;9,2
"03/05";0;-6,92;7,34
"03/05";3,4;-4,2;0,32
"03/05";9,3;-6,74;-1,22
"03/05";0,8;0,96;4,7
"03/05";0,08;-0,78;12,62
"03/05";0,72;-4,8;4,3
"03/05";0;-4,74;1,64
"03/05";0,82;-7,34;0,38
"03/05";1,66;-15,68;-8
"03/05";4,24;-0,64;8,52
"03/05";0;-1,68;9,66
"03/05";9,32;-0,94;4,72
"03/05";4,24;0,92;9,54
"03/05";0;-7,06;2,2
"03/05";0;3,3;12,18
"03/05";3,42;0,64;7,08
"03/05";0,48;1,94;8,66
"03/05";0;-6,92;6,74
"03/05";0;-4,3;5,06
"03/05";1,32;-0,72;4,02
"03/05";0;-5,68;7,82
"03/05";0;-5,86;4,58
"03/05";0;-0,24;8,6
"03/05";0;-3,2;6,7
"03/05";0;-10,3;-1,96
"03/05";4,42;-4,48;2,46
"03/05";0;-1,3;11,1
"03/05";0;-3,5;10,54
"03/05";0;1,34;11,1
"03/05";0;-0,14;12,62
"03/05";0,26;-7,94;-1,42
"03/05";0;-3,02;10,12
"03/05";0,6;-5,32;3,18
"03/05";0;-11,62;2,92
"03/05";5,58;2,58;11,76
"03/05";5,4;2,16;11,48
"03/05";4,74;0,34;7
"03/05";0;-3,56;2,02
"03/05";1,6;1,5;8,14
"03/05";0;-2,25;10,6
"03/05";0;-1,625;9,35
"03/05";0;-7,38;2,54
"03/05";1,15;-9,48;0,5
"03/05";9;-4,12;0,22
"03/05";0,325;0,56;13,88
"03/05";0,575;-3,38;0,94
"03/05";5,025;0,64;7,18
"03/06";0;-1,4;12,075
"03/06";0;-12,675;-3,95
"03/06";0;-3,775;10,125
"03/06";0;-8,425;1,4
"03/06";8;-3,65;4,1
"03/06";0;-1,96666666666667;10,4
"03/06";2,12;-2,95;2,375
"03/06";7,42;-8,325;-2,325
"03/06";0;-3,725;5,025
"03/06";0;0;12,225
"03/06";1,08;-3,525;8,25
"03/06";0,36;3,275;14,075
"03/06";0;-3,05;4,2
"03/06";0;-1,36;11,36
"03/06";7,82;-3,24;3,32
"03/06";0;-3,78;9,14
"03/06";2,36;-6,86;-2,42
"03/06";1,16;-5,1;1,76
"03/06";0,02;0,78;5,2
"03/06";1,84;3,48;9,08
"03/06";1,2;-1,94;3,14
"03/06";0;-7,26;4,9
"03/06";0;-6,98;0,84
"03/06";0,78;-17,26;-8,52
"03/06";0,84;0,88;6,8
"03/06";2,34;-0,1;9,28
"03/06";3,4;-1,46;2,68
"03/06";0;-0,94;8,66
"03/06";1;-8,46;-1,28
"03/06";0;1,16;14,44
"03/06";0,48;0,98;3,98
"03/06";0;0,84;9,68
"03/06";0;-3,44;8,28
"03/06";0,06;-3,54;7,2
"03/06";0,24;-2,96;2,04
"03/06";0;-2,5;8,18
"03/06";0;-2,26;6,96
"03/06";0;-0,22;7,48
"03/06";1,16;-0,86;8,14
"03/06";0,12;-12,66;-1,54
"03/06";0,38;-3,74;3,44
"03/06";0;-0,6;13,02
"03/06";0;-1,78;12,76
"03/06";0;1,96;12,26
"03/06";1,14;2,44;9,82
"03/06";4,8;-7,26;1,5
"03/06";1,46;1,42;9,46
"03/06";1,98;-2,2;3,38
"03/06";0;-6,28;5,42
"03/06";2;3,52;8,5
"03/06";4,32;-1,84;9,4
"03/06";8,14;-1,62;4,1
"03/06";0;-5,56;7,04
"03/06";0;-1,44;7,3
"03/06";0,075;0,375;12,825
"03/06";3,65;-1,975;7,5
"03/06";3,05;-8;2,8
"03/06";0,25;-7,06;-2,22
"03/06";1,5;-8,4;-0,3
"03/06";0,475;0,24;14,38
"03/06";0;-8,94;1,48
"03/06";5,1;0,44;3,52
"03/07";0;0,275;13,725
"03/07";0;-12,925;-2,4
"03/07";0;-1,45;13,675
"03/07";0;-6,025;5,525
"03/07";0,233333333333333;-7,725;0,575
"03/07";5,06666666666667;-1,7;12,1333333333333
"03/07";0;-7,375;4,225
"03/07";0,44;-9,95;1,475
"03/07";2,64;-2,375;3,775
"03/07";2,4;0,5;6,7
"03/07";9,92;-3,45;3,05
"03/07";14,14;3,975;12,05
"03/07";0,72;-5,75;2,55
"03/07";0;0,0400000000000001;13
"03/07";0;-6,5;-0,4
"03/07";0;-0,72;12,46
"03/07";0,18;-8,1;-1,78
"03/07";0,92;-6,24;0,26
"03/07";0;-1,94;9,32
"03/07";0;1,9;10,8
"03/07";0;-2,98;4,86
"03/07";0;-8,24;5,6
"03/07";0;-7,72;1,14
"03/07";0,08;-12,96;-5,08
"03/07";3,48;-0,52;9,46
"03/07";8;-1,84;4,56
"03/07";0,14;-2,72;4,14
"03/07";0;-1,5;12,08
"03/07";0,32;-8,7;-1,52
"03/07";0;-0,48;12,16
"03/07";0;-0,24;5,62
"03/07";4,88;-0,46;11,04
"03/07";7,84;-0,42;8,72
"03/07";0;0,28;11,38
"03/07";1,54;-5,3;4,54
"03/07";0,02;-0,66;9,34
"03/07";1,58;-4,2;6,32
"03/07";0;1,46;8,06
"03/07";8,92;-0,5;4,14
"03/07";0;-11,4;-2
"03/07";3,72;-2,64;2,06
"03/07";0,1;-0,54;14,78
"03/07";0;1,68;14,9
"03/07";0,22;2,66;12,76
"03/07";0;0,5;9,54
"03/07";2,5;-2,14;2,66
"03/07";0,06;2,64;9,94
"03/07";0,32;-2,38;3,8
"03/07";0,26;-5,6;4,42
"03/07";0;1,36;11,3
"03/07";1,8;2,66;13,1
"03/07";4,32;-1,72;2,72
"03/07";0;-2,36;12,1
"03/07";0;-1,74;8,3
"03/07";0,175;4,25;14,625
"03/07";0,275;0,7;6,275
"03/07";7,25;-1,86;2,68
"03/07";0,275;-9,62;-2,74
"03/07";0,675;-5,22;-0,48
"03/07";7,45;2,92;12,08
"03/07";0,05;-5,72;5,5
"03/07";0,4;0,06;3,36
"03/08";4,8;0,525;10,725
"03/08";0;-11,925;-0,225
"03/08";0;0,75;14,75
"03/08";0;-2,1;8,55
"03/08";0;-11,25;-0,075
"03/08";0,0333333333333333;-3,83333333333333;1,73333333333333
"03/08";0;-6,15;6,825
"03/08";0;-11,45;3,15
"03/08";0;-9,075;-0,8
"03/08";2,04;1,85;8,6
"03/08";0,44;-6,05;-0,45
"03/08";1,74;1,075;7,525
"03/08";0,1;-5,2;3,4
"03/08";0;0,04;12,86
"03/08";0;-9,4;1,92
"03/08";0;-0,1;12
"03/08";0;-8,88;0,0600000000000001
"03/08";0,04;-8,3;0,48
"03/08";0;-2,48;11,44
"03/08";0;1,78;12,3
"03/08";0;-5,96;6,24
"03/08";0;-5,58;7,56
"03/08";4,58;-9,56;3,02
"03/08";0;-13,12;-1,08
"03/08";2,54;1,32;7,44
"03/08";1,52;-2,52;3,16
"03/08";0;-3,16;3,78
"03/08";0;1,22;12,24
"03/08";1,92;-9,68;-0,18
"03/08";0;1,56;13,2
"03/08";0,42;-3;8,96
"03/08";0,44;-0,34;6,18
"03/08";1,78;-1,04;4,52
"03/08";0,04;1,72;9,7
"03/08";0,2;-3,16;5,96
"03/08";0;0,68;12,66
"03/08";0,42;-3,78;2,88
"03/08";0,34;0,82;5,32
"03/08";1,68;-0,9;2,78
"03/08";0;-12,6;0,46
"03/08";1,12;-4,86;0,46
"03/08";1,38;1,58;9,48
"03/08";0;0,5;15,58
"03/08";0,16;4,42;13,98
"03/08";0;-1,7;8,6
"03/08";0;-5,66;2,66
"03/08";1,2;3,64;12,52
"03/08";0,74;-6,54;6,46
"03/08";0,08;-6,1;4,46
"03/08";0;-1,34;11,72
"03/08";5,04;2,32;9,48
"03/08";1,64;-5,56;3,52
"03/08";4,9;0,42;10,44
"03/08";1,24;0,92;13,46
"03/08";0;4,075;12,175
"03/08";0;-2,75;8,425
"03/08";2,175;-2,52;1,22
"03/08";0,125;-6,26;1,78
"03/08";10,8;-11,5;0,42
"03/08";6,125;3,66;7,92
"03/08";0,3;-1,9;5,46
"03/08";2,775;-3,22;6,32
"03/09";1,5;4,425;10,95
"03/09";0;-6,8;5,05
"03/09";0;0,825;12,725
"03/09";1,46666666666667;-1,525;3,775
"03/09";0,266666666666667;-7,825;5,3
"03/09";0;-8,46666666666667;3,26666666666667
"03/09";1,38;-5,025;7,7
"03/09";0,86;-7,925;0,45
"03/09";0;-11,65;-2,325
"03/09";0,98;1,1;8,7
"03/09";0,04;-9,2;0,725
"03/09";0;-1;9,525
"03/09";0,08;-4,975;6,475
"03/09";0;0,5;14,62
"03/09";0;-5,18;5,74
"03/09";0;-0,6;8,74
"03/09";0,06;-8,12;5,14
"03/09";0;-10,56;1,74
"03/09";2,48;-1,14;11,82
"03/09";0;4,14;15,12
"03/09";0;-4,58;7,58
"03/09";0;-3,92;10,28
"03/09";2,38;-4,56;1,74
"03/09";0;-12,58;-0,64
"03/09";9,86;0,68;6,86
"03/09";2,68;-4,6;1,8
"03/09";0,02;-3,54;3,7
"03/09";0,52;1,74;12,6
"03/09";1,54;-5,42;0,56
"03/09";0;1,56;15,28
"03/09";0,6;1,06;8,06
"03/09";3,44;-4,48;7,58
"03/09";3,92;-1,42;4,82
"03/09";0,28;2,68;12,74
"03/09";0;-3;7,58
"03/09";0;0,1;14,28
"03/09";0,1;-7,44;1
"03/09";0,5;0,02;4,48
"03/09";0;-0,96;4,86
"03/09";0;-11,22;2,02
"03/09";0;-5,42;-0,84
"03/09";0;0,5;9,7
"03/09";2,34;2,64;12,06
"03/09";1,06;6,14;13,04
"03/09";0;-1,14;9,84
"03/09";0;-7,14;5,96
"03/09";0;5,46;15,86
"03/09";1,02;-0,96;4,94
"03/09";0,1;-5,82;3,86
"03/09";0;-1,02;13,3
"03/09";0,6;-3,22;4,76
"03/09";0,42;-1,28;7,82
"03/09";5,48;4,56;14,84
"03/09";6,1;4,06;9,26
"03/09";0;-0,25;13,975
"03/09";0;-1,55;9,125
"03/09";0;-3,5;0,74
"03/09";3,5;-1,9;1,82
"03/09";5,4;-3,04;4,5
"03/09";0,35;1,72;9
"03/09";0;-2,84;9,76
"03/09";2,25;-0,7;4,28
"03/10";0;3,225;15,725
"03/10";0;-2,525;8,175
"03/10";1,6;-0,7;9,4
"03/10";1,56666666666667;-1,525;3
"03/10";9,33333333333333;-3,75;2,35
"03/10";0;-6,46666666666667;6,26666666666667
"03/10";3,32;-3,775;5,125
"03/10";1,72;-3,675;1,075
"03/10";1,38;-10,5;-0,825
"03/10";0;-1,35;10
"03/10";0,62;-7,125;-1,55
"03/10";2,52;-0,2;9,35
"03/10";2,14;-0,625;9,25
"03/10";0;0,68;14,64
"03/10";0,14;-2,36;9,1
"03/10";1,52;-1,28;6,68
"03/10";1,82;-5,62;6,34
"03/10";0;-10,62;2,64
"03/10";1,32;1,38;7,98
"03/10";0,24;4,96;14,24
"03/10";7,12;-3,28;6,44
"03/10";0;-3,4;10,5
"03/10";0;-9,16;3,34
"03/10";0,02;-7,14;1,96
"03/10";0;0,92;8,02
"03/10";0;-7,58;-0,34
"03/10";0;-3,38;4,24
"03/10";3,74;2,74;9,08
"03/10";0;-7,5;0,24
"03/10";0;2;15,76
"03/10";0;0,5;10,78
"03/10";2,5;-1,06;5,72
"03/10";0,72;-0,88;5,58
"03/10";0,1;3,82;10,46
"03/10";1,44;-3;7,78
"03/10";0;1,48;14,32
"03/10";0;-7,38;1,76
"03/10";1,78;-3;4,14
"03/10";0;-0,32;6,98
"03/10";0;-9,28;2,18
"03/10";0,5;-9,06;3,84
"03/10";0;-1,04;12,04
"03/10";0,2;3,64;12
"03/10";1,6;4,14;8,62
"03/10";0;-2,46;10,08
"03/10";0;-5,84;7,98
"03/10";0,34;4,68;18,18
"03/10";0;-4,3;7,32
"03/10";0;-7,52;4,2
"03/10";0;-0,82;14,12
"03/10";0,08;-5,5;0,88
"03/10";0,26;0,4;12,1
"03/10";2;4,86;11,2
"03/10";0,44;1,9;11,02
"03/10";0;3,25;11,75
"03/10";0;0,9;13,475
"03/10";0;-7,9;2,84
"03/10";0,525;-4,34;1,58
"03/10";5,975;0,4;5,14
"03/10";1,6;1,18;6,04
"03/10";1,525;-1,32;11,46
"03/10";7,4;-1,4;5,32
"03/11";1,16666666666667;3,275;9,7
"03/11";0;-2;6,775
"03/11";0,4;-1,9;7,4
"03/11";0;-3,625;6,4
"03/11";5,56666666666667;-1,475;3,475
"03/11";0,3;-2,13333333333333;4,9
"03/11";0,44;-1,825;3,975
"03/11";0,88;-4,75;-1,025
"03/11";0,02;-10,675;-3,15
"03/11";0;-3,925;12,1
"03/11";8,7;-9,475;-3,65
"03/11";2,56;-1,575;6,05
"03/11";9,86;0,1;7,15
"03/11";0;2,28;13,82
"03/11";4,42;0,08;4,7
"03/11";13,26;-1,54;8,14
"03/11";0,06;-2,68;5,74
"03/11";0;-9,6;5,72
"03/11";10,42;0,48;8
"03/11";6,34;3,84;10,6
"03/11";8,02;-4,44;2,66
"03/11";0,42;-2,12;10,6
"03/11";4,62;-4,9;2,2
"03/11";2,88;-7,2;1,56
"03/11";2,26;2,24;6,72
"03/11";0;-10,5;1,82
"03/11";0;-3,84;7,16
"03/11";0,08;2,56;8,68
"03/11";0;-10,6;2,64
"03/11";0,12;1,36;12,16
"03/11";2,78;1,06;9,78
"03/11";26,98;-2,38;2,24
"03/11";1,36;-2,28;6,1
"03/11";3,76;5,06;10,74
"03/11";5,88;-1,64;5,74
"03/11";1,1;0,14;13,6
"03/11";0;-5,98;2,96
"03/11";3,46;-4,68;2,12
"03/11";0;-1,12;6,68
"03/11";0;-7,5;1
"03/11";4,02;-3,62;2,76
"03/11";0;2,22;15,14
"03/11";0;3,8;17,78
"03/11";0,6;3,16;8,98
"03/11";1,42;-1,04;7,5
"03/11";0;-3,14;7,98
"03/11";0;5,12;15,42
"03/11";0;-3,64;10,04
"03/11";1,28;-8,22;2,06
"03/11";0;-0,84;13,92
"03/11";0;-7,62;4,16
"03/11";0,76;1,38;9,4
"03/11";0,6;2,46;13,92
"03/11";1,16;3,28;14,3
"03/11";0;-0,675;14,7
"03/11";0;3,85;15,025
"03/11";0,3;-4,44;2,18
"03/11";0;-9;3,58
"03/11";1,4;-2,5;3,34
"03/11";0;-2,44;8,68
"03/11";5,8;1,72;9,14
"03/11";1,625;-0,4;3,74
"03/12";1,53333333333333;1,1;6,025
"03/12";0;-2,55;6,2
"03/12";0,233333333333333;-3,65;7,65
"03/12";2,73333333333333;-1,15;5,175
"03/12";3,5;-1,975;5,675
"03/12";0,3;-1,73333333333333;4,4
"03/12";0;-4,675;6,65
"03/12";0;-7,1;2,5
"03/12";0,24;-13,125;-3,425
"03/12";0;-2,2;13,95
"03/12";0,16;-8,475;-2,85
"03/12";1,84;-1,75;6,95
"03/12";9,08;0,4;4,325
"03/12";0;0,68;14,44
"03/12";3,5;-0,82;5,06
"03/12";8,36;0,06;4,14
"03/12";0,46;-4,24;6,88
"03/12";0;-7,4;7,6
"03/12";5,14;-2,2;4,6
"03/12";0,8;0,02;7,9
"03/12";0;-8,94;-1,06
"03/12";0;0,78;10,66
"03/12";1,88;-3,12;2,36
"03/12";0,2;-5,26;0,5
"03/12";0,74;-3,74;4,4
"03/12";0,5;-7,5;3,32
"03/12";0;-3,68;7,18
"03/12";4,02;-0,42;7,98
"03/12";0;-8,8;5,08
"03/12";6,98;1,96;8,74
"03/12";0;2,12;10,7
"03/12";8,68;0,54;8,58
"03/12";0,98;-0,9;6,76
"03/12";8,16;4,58;12,06
"03/12";1,28;-3,1;5,1
"03/12";0;0,02;8,76
"03/12";0;-6,62;3,04
"03/12";1,6;-4;2,86
"03/12";0,4;-1,08;4,96
"03/12";0;-9,06;3,9
"03/12";14,76;-1,78;4,12
"03/12";0;3,2;13,92
"03/12";0;3,92;15,46
"03/12";0;2;11,64
"03/12";0;-2,02;7,94
"03/12";0;-2,78;9,44
"03/12";2,44;4,02;15,76
"03/12";0;-3;10,98
"03/12";2,9;-7,16;-1,44
"03/12";0;7,7715611723761e-17;15,98
"03/12";0,72;-5,44;6,88
"03/12";0;0,12;12,86
"03/12";0;2,56;12,62
"03/12";7,08;4,54;16,44
"03/12";0;0,675;14,9
"03/12";4,825;3,525;14,075
"03/12";0;-4,72;6,56
"03/12";0,45;-2,44;4,94
"03/12";0,7;-6,94;0,78
"03/12";0;-2,26;13,42
"03/12";10,1;1,74;10,08
"03/12";8,375;-1,44;4,86
"03/13";0,233333333333333;-0,675;9,175
"03/13";0;-0,875;11,15
"03/13";0,9;-1,75;4,825
"03/13";1,63333333333333;-1,9;10,75
"03/13";2,63333333333333;-2,175;5,35
"03/13";2,16666666666667;-2,43333333333333;4,56666666666667
"03/13";0,28;-2,25;9,9
"03/13";0;-7,5;3,85
"03/13";0,54;-9,925;-2,4
"03/13";0;0,075;15,825
"03/13";9,88;-12,175;-3,825
"03/13";1,24;0,0249999999999999;3,85
"03/13";0;-0,775;9,525
"03/13";2,62;3,34;11,54
"03/13";0;-4,36;1,18
"03/13";1,36;-1,68;5,1
"03/13";2,44;-0,8;6,32
"03/13";0;-6,06;8,98
"03/13";2,28;-3,76;2,04
"03/13";2,96;-0,36;7,98
"03/13";0;-10,58;1,72
"03/13";0,02;0,66;10,7
"03/13";0;-6,76;5,54
"03/13";0;-5,34;7,58
"03/13";0;-5,42;6,96
"03/13";0,8;-4,08;3,04
"03/13";0;-2,44;9,74
"03/13";4,5;1,38;6,64
"03/13";0;-4,8;8,58
"03/13";0,02;0,84;8,64
"03/13";1,86;0,2;6,98
"03/13";1,44;3,1;12,68
"03/13";0,08;-1,9;6,98
"03/13";1,18;2,9;8,9
"03/13";2;-1,3;3,34
"03/13";0;-3,68;9,64
"03/13";0;-7,3;6,16
"03/13";0;-2,96;6,12
"03/13";1,88;-1,62;3,94
"03/13";0;-9,48;3,16
"03/13";2,7;-1,28;4,56
"03/13";4,98;3;16,94
"03/13";0;2,48;16,72
"03/13";0;0,02;12
"03/13";3,58;1,56;8,82
"03/13";0;-2,84;10,54
"03/13";1,74;4,54;12,4
"03/13";0,28;-2,12;7,58
"03/13";0;-11,34;-0,42
"03/13";0;2,6;14,56
"03/13";0,02;-1,4;6
"03/13";0;0,84;15,08
"03/13";0;-1,28;11,62
"03/13";13,86;2,62;10,38
"03/13";0;2,35;16
"03/13";0,35;0,3;6,675
"03/13";0;-1,38;9,96
"03/13";0;-2,76;4,6
"03/13";0,45;-9,48;-0,96
"03/13";0;0,16;15,36
"03/13";1,7;0,96;8,18
"03/13";0,9;0,18;7,22
"03/14";0;-0,55;11,175
"03/14";1,9;1,675;11,35
"03/14";0,0333333333333333;-2,45;8,375
"03/14";7,6;-7,63278329429795e-17;10,8
"03/14";0,366666666666667;-6,6;0,725
"03/14";0;-3,23333333333333;4,4
"03/14";1,82;-0,55;10,35
"03/14";0;-7,125;4,375
"03/14";0;-9,75;0,325
"03/14";0;1,775;17,9
"03/14";1,08;-5,825;3,025
"03/14";0;0,0499999999999999;6,1
"03/14";0;-0,825;12,225
"03/14";0,52;4,9;13,58
"03/14";0;-7,8;-1,78
"03/14";0;-1,38;7,14
"03/14";0,16;-0,48;8,76
"03/14";0;-2,82;10,42
"03/14";0,12;-5,18;0,5
"03/14";0,1;-2,02;3,72
"03/14";0;-6,68;5,16
"03/14";0,8;2,4;11,24
"03/14";3,66;-4,12;3,76
"03/14";0;-3,04;7,2
"03/14";0;-2,86;11,58
"03/14";1,14;-3,06;1,3
"03/14";1,98;-1,68;9,58
"03/14";3,3;0,32;7,16
"03/14";0;-3,52;8,16
"03/14";0,48;0,32;11,74
"03/14";1,16;0,22;9,54
"03/14";0;1,24;12,32
"03/14";0,82;-1,26;10,02
"03/14";0,04;0,38;9,9
"03/14";0,02;-3,46;4,4
"03/14";0;-1,6;11,88
"03/14";0;-5,62;6,66
"03/14";1,88;-1,48;4,5
"03/14";0;-1,42;7,76
"03/14";0;-8,06;2,16
"03/14";2,2;-1,6;7,58
"03/14";0,18;0,28;10,88
"03/14";0,16;1,06;14,9
"03/14";0;-0,5;13,16
"03/14";10,06;1;8,86
"03/14";0;-1,66;11,12
"03/14";0,02;4,28;15,06
"03/14";1,12;-2,6;4,44
"03/14";0;-7,62;6,64
"03/14";0,08;1,28;15,16
"03/14";2,64;-1,74;8,28
"03/14";0;0,82;14,26
"03/14";6,5;1,44;10,22
"03/14";2,46;0,34;8,2
"03/14";0;2,825;16,4
"03/14";0;-2,75;3,425
"03/14";0;0,9;10
"03/14";0;-5,58;7,64
"03/14";0,975;-7,7;-0,12
"03/14";0;2,4;14,06
"03/14";8,175;1,7;8,44
"03/14";0,675;-0,62;11,1
"03/15";5,63333333333333;-1,6;12,6
"03/15";5,46666666666667;-2,4;7,025
"03/15";0;-2,85;12,1
"03/15";0;-1,375;9,65
"03/15";0;-11,025;2,075
"03/15";0;-6,93333333333333;11,1
"03/15";0;-0,675;10,575
"03/15";0;-7,275;4,95
"03/15";0;-10,375;3,375
"03/15";0;4,4;15,5
"03/15";0;-6,675;0,725
"03/15";0;-2,65;8,375
"03/15";3,04;0,675;12,1
"03/15";0;3,34;12,74
"03/15";0,36;-10,74;-2,32
"03/15";0,96;-1,54;5,12
"03/15";1,18;-1,38;5,02
"03/15";0;-1;11,54
"03/15";7,44;-5,9;0,84
"03/15";0;-2,72;8,5
"03/15";0,02;-3,3;6,84
"03/15";7,5;2,94;9,68
"03/15";1,24;-2,32;1,5
"03/15";0,06;-1,44;9,16
"03/15";0;-1,22;13,22
"03/15";0,82;-4,18;2,2
"03/15";0,26;-0,52;5,88
"03/15";1,52;0,92;8,72
"03/15";0,3;-1,3;7,58
"03/15";0;0,84;11,16
"03/15";4,58;1,14;6,68
"03/15";5,1;4,28;13,04
"03/15";4,32;0,38;7,8
"03/15";7,42;0,5;7,04
"03/15";0;-6,1;7,64
"03/15";0;0,14;9,86
"03/15";0;-4;7,18
"03/15";3,48;-1,9;2,44
"03/15";0;-0,74;6,98
"03/15";0,46;-9,28;3,44
"03/15";0;0,78;10,6
"03/15";1,24;-1,6;7,88
"03/15";0;5,3;14,58
"03/15";0;1,82;13,96
"03/15";18,82;0,14;5,48
"03/15";0;-1,08;11,4
"03/15";0,4;3,8;15,22
"03/15";1,3;-2,76;6,1
"03/15";0;-3;10,2
"03/15";0,64;3,58;11,42
"03/15";8,98;0,46;5,86
"03/15";0;2,62;13,72
"03/15";0,88;0,44;7,18
"03/15";0,82;1,24;11,64
"03/15";0;3,225;14,1
